;text
0;Eli Manning remains the New York Giants' quarterback of the future. For now, the job belongs to Kurt Warner . Briefly citing Warner's experience and recent play, coach Tom Coughlin announced yesterday that the two-time MVP had beaten out the No. 1 pick in the NFL Draft for the starting job in the season opener at Philadelphia Sept. 12.
1;Just an extra hour of exercise a week could significantly cut obesity among young overweight girls, according to a study that researchers say could lead to major changes in the way schools fight obesity.    The study - the largest look yet at obesity among young children - did not show the same results for boys, possibly because they generally get more exercise than girls...
2;AP - The Boston Red Sox are to send hobbled star Curt Schilling to the mound Tuesday night against the New York Yankees, whose 3-0 lead in the best-of-seven AL championship series is down to 3-2 after back-to-back marathon games. But rain in the forecast could make for another long night of delays or earn both teams some much needed rest.
3;BASEBALL Arizona (NL): Named Bob Gebhard assistant general manager, Mike Aldrete hitting coach, Carlos Tosca third base coach, and Brett Butler first base coach. Chicago (AL): Signed P Kevin Walker. Cleveland (AL): Signed P Bob Wickman. Los Angeles (NL): Signed manager Jim Tracy to a two-year contract extension. Minnesota (AL): Signed C Mike Redmond to a two-year contract. Pittsburgh (NL): ...
4;"CFHT -- Twenty-five years ago, on September 28, 1979, the Canada-France-Hawaii Telescope (CFHT) was inaugurated on top of Mauna-Kea, a 4,200-meter high dormant volcano on the island of Hawaii.     From the photographic emulsion of the first light to today's 340 Mega-Pixel digital camera, CHFT's instruments are cutting edge; its camera is the largest ever built in operation on a telescope..."
5;AP - Roger Clemens and the powerful Houston lineup made sure the Astros got off to a good start in their quest to finally win a playoff series. While Clemens continually pitched out of trouble, Brad Ausmus, Lance Berkman, Carlos Beltran and Jason Lane homered for the Astros to lead a 9-3 rout of the Atlanta Braves in Game 1 of their NL division series Wednesday.
6;"Pro baseball: Red Sox vs. Texas at Fenway Park, 1 p.m.; International League: Pawtucket vs. Rochester at McCoy Stadium, Pawtucket, R.I., 6 p.m.; Eastern League: Portland vs. New Hampshire at Hadlock Field, Portland, Maine, 6 p.m.; Atlantic League: Nashua vs. Newark at Holman Stadium, Nashua, 6:30 p.m.; Northeast League: Brockton at Bangor, 6:30 p.m.; Eastern League: Altoona at New Britain, ..."
7;"NEW YORK - As he prepared for heart bypass surgery early next week, Bill Clinton was in good spirits, dressed in street clothes and walking around his hospital room Saturday morning, people close to the Clinton family said.    The former president said he was ""a little scared, but not much"" of the surgery, but was looking forward to a swift recovery and resuming normal activities such as jogging..."
8;Do you hate the government?  Do you want to smash the corporate slave state?  Are you an     anarchist, punk, eco-freak with a bad haircut and attitude?      Is your idea of a fun hobby sitting in your basement practicing your bomb-making skills?      Do you listen to Rage Against the Machine all the time and have     your walls lined with posters of Che     Guevara?  Do you actually want to do something to bring about the Revolution instead of getting stoned and rambling about the     Zapatistas?  Well here's something easy and powerful you can do     to help bring the walls down:    Vote for Bush.
9;AOL Updates Audio Video Search SingingFish\\Rumors are floating that market leaders Google along with Yahoo! and Microsoft (MSN) are working on an improved multimedia searching capabilities. AOL entered into the field with their acquisition of Singingfish Inc. around a year ago.\\Singingfish Inc. would be today announcing their updated services to ...
